Datum,Last Transaction,Maximum,Minimum,Average,Change,Amount,Total
04.6.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
03.6.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
31.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
30.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
29.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
28.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
27.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
23.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
22.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
21.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
20.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
17.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
16.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
15.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","0,00",0.0,0
14.5.2024,"34.500,00","34.500,00","34.500,00","34.500,00","1,44",5.0,172.500
13.5.2024,"34.011,00","34.011,00","34.011,00","34.011,00","-0,84",11.0,374.121
10.5.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
09.5.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
07.5.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
02.5.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
30.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
29.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
26.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
25.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
23.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
22.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
19.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
18.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
17.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
16.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",7.0,240.100
15.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",3.0,102.900
12.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
11.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
09.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
08.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
05.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
04.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","0,00",0.0,0
03.4.2024,"34.300,00","34.300,00","34.300,00","34.300,00","3,00",12.0,411.600
02.4.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
01.4.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
29.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
28.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",10.0,333.010
27.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
26.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
25.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
22.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
21.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
20.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",7.0,233.107
19.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
18.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
15.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
14.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
13.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
12.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
11.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
08.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
07.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
06.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
05.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
04.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
01.3.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
29.2.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
28.2.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
27.2.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
26.2.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
23.2.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
22.2.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",15.0,499.515
21.2.2024,"33.301,00","33.301,00","33.301,00","33.301,00","0,00",0.0,0
20.2.2024,"33.301,00","33.301,00","33.301,00","33.301,00","-0,30",100.0,3.330.100
19.2.2024,"33.400,00","33.400,00","33.400,00","33.400,00","0,00",0.0,0
16.2.2024,"33.400,00","33.400,00","33.400,00","33.400,00","0,00",100.0,3.340.000
15.2.2024,"33.401,00","33.401,00","33.401,00","33.401,00","-0,30",100.0,3.340.100
14.2.2024,"33.501,00","33.501,00","33.501,00","33.501,00","0,00",0.0,0
13.2.2024,"33.501,00","33.501,00","33.501,00","33.501,00","0,00",0.0,0
12.2.2024,"33.501,00","33.501,00","33.501,00","33.501,00","0,00",0.0,0
09.2.2024,"33.501,00","33.501,00","33.501,00","33.501,00","0,00",0.0,0
08.2.2024,"33.501,00","33.501,00","33.501,00","33.501,00","0,00",0.0,0
07.2.2024,"33.501,00","33.501,00","33.501,00","33.501,00","0,00",0.0,0
06.2.2024,"33.501,00","33.501,00","33.501,00","33.501,00","0,00",0.0,0
05.2.2024,"33.501,00","33.501,00","33.501,00","33.501,00","0,00",0.0,0
02.2.2024,"33.501,00","33.501,00","33.501,00","33.501,00","0,00",0.0,0
01.2.2024,"33.501,00","33.501,00","33.501,00","33.501,00","0,00",0.0,0
31.1.2024,"33.501,00","33.501,00","33.501,00","33.501,00","0,00",0.0,0
