Datum,Last Transaction,Maximum,Minimum,Average,Change,Amount,Total
07.6.2024,"10.999,00","10.999,00","10.999,00","10.999,00","9,88",5.0,54.995
06.6.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
05.6.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
04.6.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
03.6.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
31.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
30.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
29.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
28.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
27.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
23.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
22.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
21.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
20.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
17.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
16.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
15.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
14.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
13.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
10.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
09.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
07.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
02.5.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
30.4.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
29.4.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
26.4.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
25.4.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
23.4.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
22.4.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
19.4.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
18.4.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
17.4.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
16.4.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
15.4.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,00",0.0,0
12.4.2024,"10.010,00","10.010,00","10.010,00","10.010,00","0,09",10.0,100.100
11.4.2024,"10.001,00","10.001,00","10.001,00","10.001,00","0,00",0.0,0
09.4.2024,"10.001,00","10.001,00","10.001,00","10.001,00","0,00",0.0,0
08.4.2024,"10.001,00","10.001,00","10.001,00","10.001,00","0,01",20.0,200.020
05.4.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
04.4.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
03.4.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
02.4.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
01.4.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
29.3.2024,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",0.0,0
