Datum,Posledna Transakcija,Maksimum,Minimum,Prosechna,Kolicina,Total
2023-09-07,17350.0,17350.0,17300.0,17325.43,-0.11,129.0
2023-09-07,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-06,17300.0,17350.0,17300.0,17344.0,-0.03,25.0
2023-09-06,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-05,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-05,17350.0,17350.0,17350.0,17350.0,0.03,185.0
2023-09-04,17351.0,17351.0,17300.0,17344.19,0.02,172.0
2023-09-04,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-01,17320.0,17350.0,17300.0,17340.46,-0.05,131.0
2023-09-01,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-31,17300.0,17350.0,17300.0,17348.91,0.2,138.0
2023-08-31,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-30,17300.0,17350.0,17300.0,17315.0,0.05,24.0
2023-08-30,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-29,17300.0,17350.0,17300.0,17306.79,0.09,81.0
2023-08-29,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-25,17301.0,17301.0,17250.0,17292.08,0.44,53.0
2023-08-25,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-24,17300.0,17300.0,17212.0,17215.52,0.01,50.0
2023-08-24,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-23,17212.0,17250.0,17210.0,17213.33,-0.68,27.0
2023-08-23,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-22,17349.0,17349.0,17211.0,17332.0,-0.1,11.0
2023-08-22,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-21,17349.0,17350.0,17349.0,17349.52,0.08,33.0
2023-08-21,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-18,17349.0,17349.0,17300.0,17335.13,-0.09,53.0
2023-08-18,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-17,17350.0,17350.0,17350.0,17350.0,0.0,150.0
2023-08-17,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-16,17350.0,17350.0,17350.0,17350.0,-0.19,135.0
2023-08-16,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-15,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-15,17399.0,17400.0,17300.0,17383.57,0.48,145.0
2023-08-14,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-14,17300.0,17300.0,17300.0,17300.0,-1.0,19.0
2023-08-11,17470.0,17489.0,17400.0,17474.87,-0.09,182.0
2023-08-11,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-10,17494.0,17494.0,17450.0,17490.17,-0.03,35.0
2023-08-10,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-09,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-09,17497.0,17497.0,17495.0,17496.06,0.14,17.0
2023-08-08,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-08,17475.0,17498.0,17300.0,17471.77,-0.03,125.0
2023-08-07,17300.0,17500.0,17300.0,17477.05,-0.13,113.0
2023-08-07,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-04,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-04,17500.0,17500.0,17450.0,17499.74,0.12,190.0
2023-08-03,17500.0,17500.0,17400.0,17479.6,0.0,5.0
2023-08-03,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-01,17400.0,17500.0,17400.0,17479.22,0.23,527.0
2023-08-01,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-31,17450.0,17450.0,17400.0,17438.6,1.17,100.0
2023-07-31,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-28,17201.0,17440.0,17200.0,17237.44,-0.93,41.0
2023-07-28,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-27,17400.0,17400.0,17399.0,17399.94,-0.03,109.0
2023-07-27,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-26,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-26,17400.0,17440.0,17399.0,17404.62,-0.34,326.0
2023-07-25,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-25,17440.0,17499.0,17400.0,17464.71,-0.03,159.0
2023-07-24,17451.0,17500.0,17450.0,17469.18,0.04,174.0
2023-07-24,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-21,17500.0,17500.0,17450.0,17461.84,0.1,63.0
2023-07-21,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-20,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-20,17449.0,17450.0,17400.0,17444.66,0.2,32.0
2023-07-19,17449.0,17449.0,17400.0,17409.94,1.22,222.0
2023-07-19,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-18,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-18,17200.0,17200.0,17199.0,17199.78,-0.21,215.0
2023-07-17,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-17,17300.0,17500.0,17200.0,17235.62,-1.51,236.0
2023-07-14,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-14,17499.0,17501.0,17499.0,17499.85,-0.56,133.0
2023-07-13,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-13,17599.0,17600.0,17599.0,17599.26,0.56,38.0
2023-07-12,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-12,17502.0,17502.0,17500.0,17500.81,-0.41,37.0
2023-07-11,865.0,865.0,865.0,865.0,1.76,70.0
2023-07-11,17500.0,17600.0,17500.0,17573.12,-0.15,41.0
2023-07-10,17600.0,0.0,0.0,17600.0,0.0,0.0
2023-07-10,850.0,0.0,0.0,850.0,0.0,0.0
2023-07-07,17600.0,17600.0,17600.0,17600.0,0.0,2.0
2023-07-07,850.0,0.0,0.0,850.0,0.0,0.0
2023-07-06,17600.0,17600.0,17600.0,17600.0,-0.56,10.0
2023-07-06,850.0,850.0,850.0,850.0,17.73,100.0
2023-07-05,722.0,0.0,0.0,722.0,0.0,0.0
2023-07-05,17700.0,17700.0,17700.0,17700.0,-0.03,90.0
2023-07-04,17700.0,17798.0,17697.0,17705.18,-0.8,195.0
2023-07-04,722.0,0.0,0.0,722.0,0.0,0.0
2023-07-03,722.0,0.0,0.0,722.0,0.0,0.0
2023-07-03,17900.0,0.0,0.0,17848.48,0.0,0.0
2023-06-30,17900.0,17900.0,17650.0,17848.48,1.42,164.0
2023-06-30,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-29,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-29,17600.0,17600.0,17595.0,17599.35,0.57,144.0
2023-06-28,17500.0,17501.0,17500.0,17500.06,0.44,168.0
2023-06-28,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-27,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-27,17500.0,17500.0,17400.0,17422.73,0.14,22.0
2023-06-26,17400.0,17400.0,17301.0,17398.61,0.01,174.0
2023-06-26,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-23,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-23,17399.0,17399.0,17300.0,17397.21,-0.01,58.0
2023-06-22,17399.0,17400.0,17399.0,17399.25,-0.17,154.0
2023-06-22,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-21,17400.0,17496.0,17400.0,17429.06,-0.15,440.0
2023-06-21,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-20,17450.0,17497.0,17420.0,17455.26,-0.09,172.0
2023-06-20,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-19,17450.0,17480.0,17450.0,17471.43,-0.16,35.0
2023-06-19,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-16,17500.0,17501.0,17500.0,17500.19,-0.22,136.0
2023-06-16,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-15,17550.0,17550.0,17500.0,17538.46,0.29,65.0
2023-06-15,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-14,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-14,17500.0,17500.0,17420.0,17488.34,-0.4,151.0
2023-06-13,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-13,17500.0,17595.0,17500.0,17559.38,-0.19,8.0
2023-06-12,17500.0,17600.0,17500.0,17592.37,0.31,146.0
2023-06-12,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-09,17650.0,17650.0,17500.0,17537.22,-0.36,54.0
2023-06-09,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-08,17600.0,17600.0,17600.0,17600.0,-0.05,6.0
2023-06-08,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-07,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-07,17500.0,17700.0,17420.0,17609.22,-1.38,93.0
2023-06-06,17790.0,17860.0,17790.0,17856.25,-0.01,32.0
2023-06-06,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-05,17850.0,17880.0,17850.0,17857.5,-0.15,40.0
2023-06-05,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-01,17889.0,17889.0,17800.0,17884.06,-0.03,18.0
2023-06-01,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-31,17895.0,17898.0,17800.0,17889.54,-0.07,57.0
2023-05-31,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-30,17900.0,17905.0,17899.0,17901.47,-0.01,47.0
2023-05-30,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-29,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-29,17940.0,17940.0,17897.0,17902.5,-0.23,34.0
2023-05-26,17930.0,17950.0,17930.0,17943.73,0.66,51.0
2023-05-26,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-25,17850.0,17850.0,17700.0,17825.25,0.37,202.0
2023-05-25,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-23,17700.0,17898.0,17700.0,17759.07,-0.52,286.0
2023-05-23,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-22,17800.0,17930.0,17800.0,17851.78,-0.55,73.0
2023-05-22,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-19,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-19,17950.0,17950.0,17950.0,17950.0,-0.38,12.0
2023-05-18,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-18,18000.0,18100.0,18000.0,18018.18,0.57,33.0
2023-05-17,17900.0,18000.0,17900.0,17915.25,-0.78,59.0
2023-05-17,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-16,17900.0,18150.0,17900.0,18055.57,1.15,290.0
2023-05-16,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-15,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-15,17750.0,17900.0,17750.0,17850.0,-0.32,33.0
2023-05-12,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-12,18000.0,18000.0,17899.0,17907.26,0.47,110.0
2023-05-11,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-11,17800.0,17900.0,17800.0,17823.08,-0.37,13.0
2023-05-10,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-10,17894.0,17899.0,17800.0,17888.51,-0.15,513.0
2023-05-09,17900.0,18000.0,17900.0,17915.06,-1.28,166.0
2023-05-09,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-08,18100.0,18150.0,18100.0,18146.67,-0.02,30.0
2023-05-08,722.0,0.0,0.0,722.0,0.0,0.0
